State,RegionCode,RegionLabel,TotalArea,CropStubTotal,CropStubCoolBurn,CropStubHotBurn,CropStubWindrowLeft,CropStubWindrowRemove,CropStubSoil,CropStubRetainGround,CropStubRetainStand,CropStubGraze,CropStubOther,SoilManTotal,SoilManCompost,SoilManGreen,SoilManMulch,SoilManLime,SoilManDolo,SoilManGyp,SoilMa0oul,SoilManOther,LandUseNotAgri,LandUseCrops,LandUseGraze,LandUseForest,LandUseOther
NSW AND ACT,9991,New South Wales and Australian Capital Territory,55438873.58,5596788.95,823943.52,419705.44,26126.05,105900.23,788673.65,1010844.16,1719665.94,579823.74,122106.22,1242551.57,54263.45,12742.59,3704.76,438983.49,13588.76,405113.87,139880.01,172886.84,2224871.66,8742205.46,42573890.55,319673.89,21659.72
NSW AND ACT,101,Central Tablelands,1669440.87,117680.33,24324.57,7508.9,0,7612.29,15958.05,19875.06,4012.4,37425.19,963.86,65966.79,6124.15,97.62,105.3,0,0,4216.86,3627.23,8468.63,68637.8,156239.08,1372808.44,20145.21,205.5
NSW AND ACT,102,Central West,7298850.68,1421761.49,199555.14,97720.12,10660.18,24975.85,222207.92,196924.39,491767.1,158498.49,19452.29,198025.24,8704.12,0,0,62292.24,2808.71,50467.16,17950.31,52860.18,324965.22,2237169.96,4489690.74,13257.58,3044.85
NSW AND ACT,103,Greater Sydney,70878.35,93.71,0,0,0,0,0,46.64,0,47.07,0,5365.87,503.06,291.29,88.07,893.46,325.98,226.61,2982.89,54.49,9711.04,13612.34,46547.25,168.63,1398.07
NSW AND ACT,104,Hunter,1177500.34,15359.99,1297.01,545.7,0,947.6,1847.91,4993.74,1100.75,4627.28,0,29662.02,1188.49,0,654.72,6726.13,1623.88,874.74,12025.33,5769.25,94778.89,35726.32,1024637.17,4227.78,1929.33
NSW AND ACT,105,Murray,3248241.47,738728.58,159302.76,105646.59,4510.88,12095.98,75614.35,149091.14,129413.7,83877.12,19176.07,253817.04,5896.61,1237.44,0,97965.22,900.07,112201.94,18300.96,16478.54,128191.65,1037179.27,1949350.91,31292.84,4364.3
NSW AND ACT,106,North Coast,731742.94,18477.99,4211.3,542.95,803.96,244.74,4546.87,4738.34,206.89,370.8,2812.15,54510.21,4066.02,879.6,1994.26,19477.28,1353.46,1131.13,10686.77,14836.4,63916.98,64033.38,497787.92,80045.52,3946.11
NSW AND ACT,108,North West NSW,6229509.71,1569139.74,82845.9,20483.62,0,10731.13,280074.15,332051.12,729327.37,81124.99,32501.45,117697.76,9768.16,0,0,0,0,42759.37,23849.26,22114.42,260146.43,2504479.22,3219516.26,37735.08,2094.75
NSW AND ACT,109,Northern Tablelands,1795059.44,70112.83,3109.54,896.47,0,726.83,9159.44,12149.95,24626.46,17125.78,2318.35,43371.26,752.43,1761.68,0,0,0,5350.11,0,22192.07,110603.66,106913.71,1481987.04,38135.44,323.27
NSW AND ACT,110,Riverina,5980840.26,1353379.61,330840.96,178249.57,9647.61,40803.67,141965.64,192953.21,281246.87,136554.3,41117.78,378025.49,9064.48,4179.17,0,157534.43,6057.81,146714.94,38432.72,15837.99,255949.18,1998806.52,3533520.77,18175.52,3652.9
NSW AND ACT,801,ACT,5980840.26,1353379.61,330840.96,178249.57,9647.61,40803.67,141965.64,192953.21,281246.87,136554.3,41117.78,378025.49,9064.48,4179.17,0,157534.43,6057.81,146714.94,38432.72,15837.99,255949.18,1998806.52,3533520.77,18175.52,3652.9
NSW AND ACT,111,South East NSW,1730235.41,47789.43,5978.97,7589.73,503.42,353.69,8251.72,2388.69,1556.22,17402.73,3764.26,78130.25,788.03,638.59,48.31,17913.13,125.12,36310,8836.35,13470.72,116447.74,88657.95,1486633.91,12495.31,694.89
NSW AND ACT,112,Western,25506574.1,244265.26,12477.37,521.79,0,7408.45,29047.61,95631.88,56408.18,42769.99,0,17979.63,7407.88,340.8,0,0,0,4861.01,0,804.16,791523.07,499387.69,23471410.15,63995,5.73
NT,9997,Northern Territory,54580046.46,1309.16,0,0,0,0,70.86,21.79,0,1216.51,0,8511.24,77.3,1289.98,0,651.48,375.28,2750.35,316.06,3037.86,3153928.46,20575.95,49894961.4,4317.44,529.34
NT,701,Northern Territory,54580046.46,1309.16,0,0,0,0,70.86,21.79,0,1216.51,0,8511.24,77.3,1289.98,0,651.48,375.28,2750.35,316.06,3037.86,3153928.46,20575.95,49894961.4,4317.44,529.34
QLD,9993,Queensland,137954588.5,1920659.26,43157.59,15752.45,3193.81,8162.54,333050.57,527069.36,779299.19,143032.2,67941.55,407684.67,44998.44,16840.13,5563.52,46877.14,17832.2,56729.67,18454.03,108801.1,4803102.9,3181156.88,129372499.5,195048.92,23134.82
QLD,301,Burnett Mary,3353011.46,75575.24,5172.88,391.79,1966.16,4066.37,16942.07,27515.65,4695.74,6053.63,8770.96,65021.13,6348.04,3393.39,2594.56,9219.35,1579.46,11238.8,1760.57,24453.06,142752.57,155771.91,2867673.24,89718.75,3732.97
QLD,302,Cape York,2561605.01,492.06,0,0,0,0,0,222.65,134.71,134.71,0,217.23,0,0,0,0,0,0,0,0,135837.29,2056.71,2449462.59,820.19,61.21
QLD,303,Condamine,1599721.91,494592.5,2093.67,2407.75,24.89,2190.79,126057.09,111657.98,212511.21,34579.04,3070.08,66343.57,15801.69,4130.53,0,683.11,0,2828.48,5317.59,37518.96,71225.18,678196.47,784175.88,7295.36,5414.67
QLD,304,Cooperative Management Area,1610830.19,1542.72,0,0,0,0,69.42,1473.3,0,0,0,0,0,0,0,0,0,0,0,0,17285.04,1774.63,1591314.69,37.99,0
QLD,305,Desert Channels,44150070.53,333.65,0,0,0,0,5.26,44.15,154.46,129.79,0,191.91,0,0,0,0,0,0,0,0,1688207.35,69190.43,42393229.77,24199.14,0
QLD,306,Fitzroy Basin,14987167.85,291250.11,605.25,212.8,0,433.78,71880.41,68107.4,115594.07,30752.07,3664.32,26635.6,2246.86,4444.8,0,518.84,221.15,2937.02,3246.04,12719.36,536263.09,456780.92,13632681.88,45451.15,6671.21
QLD,307,North Queensland Dry Tropics,12545909.08,100939.19,17326.23,11000.83,13.67,487.26,15696.27,22607.4,27406.29,4413.84,1987.4,48949.23,4263.65,319.33,0,1495.46,2615.07,14978.91,0,3105.33,318506.75,216137.68,12052154.36,211.57,49.51
QLD,308,Northern Gulf,12503256.73,4293.99,2,54.39,0,0,45.79,762.46,0,0,3429.35,4475.27,0,0,1168.79,917.07,214.4,1625.49,199.12,0,804027.28,14401.54,11683626,1172.24,81.43
QLD,309,Queensland Murray Darling Basin,9029457.17,736699.48,14514.32,865.62,114.78,456.71,84162.93,150622.3,414217.41,64942.07,6803.34,58740.49,9669.71,1805.56,6.67,1587.82,9397.27,15175.94,620.28,20477.25,424483.24,1211413.03,7249611.19,19397.5,3237.84
QLD,310,Reef Catchments,706846.65,96947.85,1148.88,728.91,232.14,78.87,5907.43,64690.69,1649.22,613.93,21897.79,75268.73,0,0,0,6507.49,210.47,1886.73,7.92,3753.22,79106.53,145092.62,463464.27,2604.93,229.29
QLD,311,South East Queensland,988948.85,10233.71,10.16,0,0,0,2826.94,5763.57,1275.13,333.91,24,22745.93,3766.45,1310.53,0,3762.04,861.9,2978.12,5878.7,3598.81,33237.38,44718.37,918538.07,3037.17,2531.9
QLD,312,South West Queensland,16608709.24,620,0,0,0,0,0,0,0,620,0,0,0,0,0,0,0,0,0,0,230630.44,7247.61,16359804.24,0,2
QLD,313,Southern Gulf,16580764.53,141,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,289474.41,4487.02,16427683.27,0,594.46
QLD,314,Terrain NRM,728289.3,106997.76,2284.19,90.37,842.17,448.76,9456.96,73601.8,1660.97,318.22,18294.31,38098.94,2042.77,1272.41,1106.2,22074.26,2676.65,2964.26,390.63,2821.01,32066.36,173887.91,499080.07,1102.92,528.33
SA,9994,South Australia,49720452.6,3641989.62,183518.77,133320.24,15752.07,89678.13,222918.03,1302159.79,790548.53,816377.6,87716.45,339997.53,24631.8,4130.95,1386.7,51948.8,3295.51,174318.87,38116.57,40900.48,1740285.53,4995178.7,42516950.63,10461.16,32182.02
SA,401,Adelaide and Mount Lofty Ranges,313183.01,86599.15,6860.24,3936.04,490,9166.31,11313.36,23875.16,16357.52,13049.25,1551.26,32767.29,5914.38,339.75,768.42,6237.56,0,0,9124.73,2846.09,21496.58,134028.19,138650.03,854.38,1024.01
SA,402,Alinytjara Wilurara,36606933.02,14859.31,600,100,0,1025,522.28,5000.28,3751.44,3700.31,160,0,0,0,0,0,0,0,0,0,869577.21,23318.33,35684138.8,60,0
SA,406,South Australian Arid Lands,36606933.02,14859.31,600,100,0,1025,522.28,5000.28,3751.44,3700.31,160,0,0,0,0,0,0,0,0,0,869577.21,23318.33,35684138.8,60,0
SA,403,Eyre Peninsula,3869708.73,1292662.56,60396.68,62364.49,9051.59,54399.45,82788.45,409308.54,265597.07,315362.7,33393.59,92247.82,0,0,0,11644.46,0,75870.08,0,0,364900.26,1859608.32,1499070.33,944.23,2021.94
SA,404,Kangaroo Island,167522.7,11232.2,944.61,53.9,0,77.06,0,5893.44,1180.81,3082.38,0,0,0,0,0,5488.08,0,0,0,1723.79,31570.8,15572.07,117069.55,1589.4,17.4
SA,405,Northern and Yorke,3251042.86,1342378.34,73853.93,30539.16,5059.93,16291.71,60598.91,604248.66,264199.35,247354.61,40232.08,91176.78,2789.75,0,130.39,10129.19,1371.1,52623.21,22034.36,0,78425.96,1566450.67,1511041.87,448.08,12724.17
SA,407,South Australian Murray Darling Basin,3743889.94,687439.75,23901.42,17332.62,1150.56,6087.05,42694.71,192699.77,212453.61,185588.84,5531.18,36256.82,6713.85,2518.69,302.74,0,0,12724.24,5743.37,4706.57,245348.57,1104265.8,2250538.96,1649.27,14881.13
SA,408,South East,1768172.35,206818.32,16961.88,18994.04,0,2631.57,25000.33,61133.94,27008.71,48239.52,6848.34,79021.88,9063.78,738.72,0,15112.01,994.86,25721.46,1060.01,25585.75,128966.15,291935.32,1316441.1,4915.81,1513.38
TAS,9996,Tasmania,1480287.39,29713.35,4995.54,1756.24,35.12,2521.87,10469.26,3175.98,876.55,5824.81,57.98,120972.83,6420.04,1413.55,0,68313.92,32778.18,2182.78,1123.78,8514.29,208303.63,100857.27,1033054.77,108338.71,3611.29
TAS,601,Cradle Coast,270336.31,3284.57,534.22,170.82,0,141.56,1992.35,313.68,87.42,24.21,20.31,78912.31,2930.94,1124.81,0,45813.88,25562.32,3.78,0,3133.87,29104.69,20936.88,205933.09,6313.51,345.66
TAS,602,North,686789.98,20889.49,2702.11,1282.12,16.93,2026.41,6639.19,2556.05,666.13,5000.55,0,33342.14,3450.46,284.24,0,18483.53,6201.98,1652.49,0,3024.04,111470.28,57791.89,461851.19,46271.79,2872.07
TAS,603,South,523161.1,5539.29,1759.21,303.3,18.19,353.9,1837.72,306.26,122.99,800.05,37.67,8718.38,38.64,4.5,0,4016.52,1013.88,526.51,690.31,2356.38,67728.66,22128.5,365270.5,55753.41,393.55
VIC,9992,Victoria,10852481.49,3002454.46,378932.27,269448.04,7479.9,113066.4,126177.01,820560.31,903288.23,343594.75,39907.54,822600.89,67539.43,9328.92,0,381775.75,14342.93,242930.32,47815.06,56449.81,456566.89,4329376.93,5571608.89,43939.5,15642.01
VIC,201,Corangamite,789056.14,148401.61,43374,35094.87,0,10393.79,6765.6,18564.25,18338.91,15838.81,31.36,78771.45,6846.14,423.84,28.52,0,0,7776.47,2852.64,2204.12,38113.95,189465.35,512975.66,1813.32,1233.61
VIC,202,East Gippsland,250394.05,3330.31,54.79,53.77,0,25,2086.78,62.5,136.51,427,483.96,14483.29,470.97,510.81,0,11075.9,1296.92,0,368.8,427.61,24831.33,8322.02,203992.51,1568.79,88.69
VIC,203,Glenelg Hopkins,1538567.68,193087.86,66163.4,39560.17,2001.58,4981.08,20386.72,29231.55,18348.72,10546.21,1868.44,137248.7,17912.52,0,0,98549.01,3783.51,12399.43,2651.03,1708.87,52285.82,245585.85,1204960.62,16011.1,307.77
VIC,204,Goulburn Broken,1074790,149660.62,51539.79,39894.51,2985.72,2505.06,10040.41,20107.87,5290.45,13780.26,3516.55,95243.97,4750.96,1644.01,75.58,58701.56,2205.03,14102.37,5962.49,7801.99,56585.17,229274.95,740389.22,3128.5,2061.13
VIC,205,Mallee,2170778.45,1089445.35,32088.07,16828.84,0,54781.25,9637.09,380962.92,424214.31,155536,15396.89,51549,6744.91,2047.23,7.59,2324.72,398.48,32973.45,3635.64,3416.98,81901.31,1715376.76,302474.87,226.35,492.77
VIC,206,North Central,1969349.07,681112.66,70157.79,57391.19,983.89,28498.59,41797.04,195686.24,191252.24,88958.5,6387.18,169233.31,11735.13,2927.01,1709.59,66717.31,294.29,48378.76,25452.06,12019.16,58661.42,955318.76,867131.21,2853.97,6366.61
VIC,207,North East,656571.6,18914.87,5827.01,4693.92,545.5,1771.05,226.66,1562.75,2606.21,1541.82,139.94,36260.56,166.04,22.15,0,18209.01,2095.34,5714.19,0,9773.48,37425.62,33501.15,542472.76,3011.86,1207.49
VIC,208,Port Phillip and Western Port,275514.81,20389.34,2546.29,2289.71,0,357.27,2726.54,5632.42,3694.33,2629.52,513.26,32723.13,3873.1,1076.81,257.71,16498.93,483.67,4739.72,3318.36,2474.83,16524.64,49867.95,177940.4,252.21,2710.59
VIC,209,West Gippsland,580641.57,11926.6,2193.06,20,0,0,138.34,234.79,1760.73,7579.68,0,71615.72,11238.66,570.74,0,40561.8,1728.86,0,3018.65,9079.09,34013.45,28303.92,485203.76,4792.75,279.3
VIC,210,Wimmera,1546818.11,686185.24,104988.08,73621.05,963.21,9753.32,32371.85,168515.01,237645.82,46756.95,11569.96,135471.77,3801.02,0,0,0,0,111283.13,0,7543.69,56224.17,874360.2,534067.89,10280.64,894.04
WA,9995,Western Australia,83770447.04,6430353.5,734784.49,571659.37,138296.51,354121.6,239956.76,2065259.99,1082890.42,1114096.54,129287.82,1662723.47,11141.96,3901.9,1242.82,1189702.7,31092.98,387724.43,8779.26,27767.7,2860410.88,9704222.06,69800153.28,91975.52,13485.21
WA,501,Northern Agricultural,4119565.49,1797319.81,240405.08,133901.23,77350.67,76515.36,54547.68,609315.02,342113.39,247930.99,15240.39,537674.84,4022.29,1073.32,0,433397.56,13049.3,82447.42,0,3271.03,531189.22,2553089.62,954908.62,9928.5,741.23
WA,502,Peel-Harvey,490949.86,124576.81,14957.16,19849.53,110.82,7774.89,4219.71,20413.78,13752.35,34766.9,8731.67,54359.36,183.41,0,0,0,0,2005.59,0,248.29,45613.79,175019.5,264265.04,10295.05,3752.35
WA,503,Perth,12433.72,860.2,0,679.59,0,0,0,180.61,0,0,0,757.55,70.89,0,0,0,0,117.99,178.39,0,4839.25,2653.68,3166.45,9.77,350.57
WA,504,Rangelands,66173382.81,6665.01,1767.71,1816,0,131,2500.3,450,0,0,0,1620.13,0,0,0,0,0,874.72,0.06,0,821548.96,15051.53,64384722.22,775.98,6.34
WA,505,South Coast,3320571.6,1244616.16,85186.91,57895.88,32022.13,20245.48,52979.6,452540.49,220502.54,269952.01,53291.13,320692.17,0,1742.53,0,173725.42,3756.06,136378.92,0,3099.15,472757.94,1791496.71,952177.92,28724.44,4492.7
WA,506,South West,1961749.13,522297.82,110322.65,66236.26,2999.23,30795.52,22726.29,99444.87,57345.91,107308.66,25118.44,150649.36,3960.5,404.14,1187.91,114128.77,5777.3,14075.64,2073.3,7672.08,220768.72,699918.15,929585.51,21677.98,1102.36
WA,507,Wheatbelt,7691794.42,2734017.69,282144.99,291280.87,25813.66,218659.36,102983.18,882915.21,449176.23,454137.99,26906.19,596970.07,2556.3,0,0,418095.31,7574.83,151824.15,2976.1,13301.45,763692.99,4466992.88,2311327.53,20563.8,3039.66
